1299468890750234624,1299467787228901376,1598652501000,2020-08-29,00:08:21,W. Europe Daylight Time,3536660720,saintremedios,سَنت رمدیوس,,"از دل جنبش me too کلی ازارگر کله گنده کله پا شدن. قوانین و مقررات بازبینی شد کلی کتاب و مقاله نوشته شد. از این افشاگری های ما چی درمیاد؟ یه مشت آنفالو و فحش و بعدش هم فراموشی...
جز مورد کیوان امام کدوم یکی از اعضای لیست بلند آزارگرا تحت پیگرد قانونی قرار گرفتن؟",[],[],[],0,0,0,[],[],https://twitter.com/saintremedios/status/1299468890750234624,False,,0,,,,,,,"[{'user_id': '3536660720', 'username': 'saintremedios'}]",,,,
1299465678680883201,1299465678680883201,1598651735000,2020-08-28,23:55:35,W. Europe Daylight Time,714754878451621888,half____life,Rintarou Okabe,,"جالبه که این دریوزگان لایک و فالوور هر موضوعی که جنجال برانگیز میشه رو تجربه کردن.
همه بلااستثنا مورد آزار جنسی از طرف کیوان امام و محمدرضا گلزار و آغداشلو و سگ و شغال و .... قرار گرفتن.
نتیجش هم میشه بی اهمیت کردن مساله و در نهایت دیده نشدن تجربیات واقعی قربانیان.😔",[],[],[],0,0,6,[],[],https://twitter.com/Half____Life/status/1299465678680883201,False,,0,,,,,,,"[{'user_id': '714754878451621888', 'username': 'Half____Life'}]",,,,
1299464526690213894,1299389892758327296,1598651460000,2020-08-28,23:51:00,W. Europe Daylight Time,1213702898925719553,arash39413465,Arash,,نه خیر ، راه به دادگاه بردن شکایتی که ثبت عرفیش دشواره می تونه توییتر باشه. مثل کیوان امام که بالاخره بازداشت شد به یمن توییتر.,"['no_censure_', 'hamedreza']",[],[],1,0,0,[],[],https://twitter.com/Arash39413465/status/1299464526690213894,False,,0,,,,,,,"[{'user_id': '1213702898925719553', 'username': 'Arash39413465'}, {'user_id': '47927277', 'username': 'No_censure_'}, {'user_id': '3327661', 'username': 'Hamedreza'}]",,,,
1299461688530481153,1299461688530481153,1598650784000,2020-08-28,23:39:44,W. Europe Daylight Time,1055268168971812864,dilanmakoo,Dilan Makoo,,کیوان امام وردی دستگیر شده. آغداشلو تکذیب کرده. یکی دو نفر پیشدستی کرده‌اند و گفته‌اند ما متجاوزیم! در مقایسه با جنبش #MeToo دست‌آورد ملموسی تابحال نداشته. باید راهکاری اندیشید برای مجازات متجاوز. تا زمانی که رژیم بهشت متجاوزان را فراهم میکند بدست آوردن نتایج واقعی دشوار است. https://twitter.com/leilaakhoda/status/1299347680687251460 …,[],['https://twitter.com/leilaakhoda/status/1299347680687251460'],[],1,0,0,['#metoo'],[],https://twitter.com/DilanMakoo/status/1299461688530481153,False,https://twitter.com/leilaakhoda/status/1299347680687251460,0,,,,,,,"[{'user_id': '1055268168971812864', 'username': 'DilanMakoo'}]",,,,
1299458522955079680,1299419310620848130,1598650029000,2020-08-28,23:27:09,W. Europe Daylight Time,1125470020547616768,h______minded,H,,"درباره کیوان امام، آغداشلو، رسول زاده و... هم راوی معتبر و حی و حاضر داریم، هم تعدد قربانیان، هم مدرک، هم روایت‌های دقیق و پر از جزئیات.
اگر این روایت‌های بی منطق و بی سند و بی هویت شاکی رو بذاریم کنار اونا و به همه بگیم قربانی تجاوز قطعا ظلم به قربانیان واقعیه.",['phoenix0k'],[],[],1,0,1,[],[],https://twitter.com/h______minded/status/1299458522955079680,False,,0,,,,,,,"[{'user_id': '1125470020547616768', 'username': 'h______minded'}, {'user_id': '406625692', 'username': 'phoenix0k'}]",,,,
1299457705871056898,1299457705871056898,1598649834000,2020-08-28,23:23:54,W. Europe Daylight Time,1049635602289823744,shimashahram,مطرود,,اميدوارم توييت بهمن دارالشفايي و اصرارش بر اون باعث ازادي رفيقشون #کیوان_امام_وردی نشه!😏,[],[],[],0,0,2,['#کیوان_امام_وردی'],[],https://twitter.com/shimashahram/status/1299457705871056898,False,,0,,,,,,,"[{'user_id': '1049635602289823744', 'username': 'shimashahram'}]",,,,
1299453600813514752,1299442975957823489,1598648855000,2020-08-28,23:07:35,W. Europe Daylight Time,893000951732346880,nonstop_writer,نویسنده هستم,,ببینید اعدام کیوان امام لزوما شاید عادلانه نباشه، برای همین هست که میگم شاید اتفاقا حکم رو سنگین‌تر بدن فقط به این خاطر که به احساسات ملت پاسخ بدن!,['dak00_ta'],[],[],1,0,2,[],[],https://twitter.com/NonStop_Writer/status/1299453600813514752,False,,0,,,,,,,"[{'user_id': '893000951732346880', 'username': 'NonStop_Writer'}, {'user_id': '1079837416893095944', 'username': 'dak00_ta'}]",,,,
1299451612553981952,1299442975957823489,1598648381000,2020-08-28,22:59:41,W. Europe Daylight Time,893000951732346880,nonstop_writer,نویسنده هستم,,"به نظرتون کیوان امام عادلانه محاکمه میشه؟! یعنی براساس قوانین مجازات اسلامی؟! یا موج‌سواری از احساسات ملت خواهد شد؟! 
بعداینکه خواه ناخواه روایت‌های دروغ و فیک متعددی در این فقره منتشر خواهد شد، این وظیفه دستگاه‌های مسئول رو به نظرم نباید متاثر کنه",['dak00_ta'],[],[],1,0,1,[],[],https://twitter.com/NonStop_Writer/status/1299451612553981952,False,,0,,,,,,,"[{'user_id': '893000951732346880', 'username': 'NonStop_Writer'}, {'user_id': '1079837416893095944', 'username': 'dak00_ta'}]",,,,
1299451015180226562,1299449748320067585,1598648239000,2020-08-28,22:57:19,W. Europe Daylight Time,1280570749888192514,drramezoon,Dr. Ramezoon,,"5/  دکتر چ را بی‌حال روی زمین یافتم خونین و مالین. صدایش کردم. با تقلا گفت ""دکتر تو دیگه نه."" در را بستم و این قضیه را فراموش کردم. تا همین چند روز پیش که عکس‌هایی خاطرات آن روز را برای روشن کرد. آن پسر جوان و پیرمرد خوشتیپ همان #كيوان_امام  و #ایدین_اغداشلو  بودند.",[],[],[],1,0,0,"['#كيوان_امام', '#ایدین_اغداشلو']",[],https://twitter.com/DrRamezoon/status/1299451015180226562,False,,0,,,,,,,"[{'user_id': '1280570749888192514', 'username': 'DrRamezoon'}]",,,,
1299449630187548673,1299442975957823489,1598647909000,2020-08-28,22:51:49,W. Europe Daylight Time,1079837416893095944,dak00_ta,ننجون.مرجان,,کیوان امام کارش خیلی بیشرمانه و کثیف بود و واقعا حقش اینه ک ب بدترین شکل مجازات بشه ،اما بنظرم اینو گرفتن ک بگن ما صدای مردم رو میشنویم و رسیدگی میکنیم واگر ب بقیه ی تجاوزها رسیدگی نشد چون همه داستانهایی ازقبیل گلزار بود ک ساخته ی ذهن افراد بود,['nonstop_writer'],[],[],1,0,1,[],[],https://twitter.com/dak00_ta/status/1299449630187548673,False,,0,,,,,,,"[{'user_id': '1079837416893095944', 'username': 'dak00_ta'}, {'user_id': '893000951732346880', 'username': 'NonStop_Writer'}]",,,,
1299449014325260288,1299442975957823489,1598647762000,2020-08-28,22:49:22,W. Europe Daylight Time,893000951732346880,nonstop_writer,نویسنده هستم,,"بله این هم ممکن هست، 
منتها یک سوال شما فکر می‌کنی به غیر از #کیوان_امام مادر مرده، به پرونده یا شکایت از افراد دیگه‌ای که احتمالا نفوذ و قدرت و‌ جایگاه اجتماعی بالاتری دارند، رسیدگی خواهد شد؟!",['dak00_ta'],[],[],1,0,2,['#کیوان_امام'],[],https://twitter.com/NonStop_Writer/status/1299449014325260288,False,,0,,,,,,,"[{'user_id': '893000951732346880', 'username': 'NonStop_Writer'}, {'user_id': '1079837416893095944', 'username': 'dak00_ta'}]",,,,
